Phase,Day,UTC,posix[s],t[s],s[NM],h[ft],TAS[kt],mass[kg],FPA_a[º],THR[%],SB[%],nz[g],hp[ft],VS[ft/min],CAS[kt],mach[-],GS[kt],FPA_g[º],FlightID,reserved,Temp[ºC],Press[hPa],Wn[kt],We[kt],Ws[kt],Wx[kt],reserved,reserved,reserved,Lat[º],Lon[º],x[NM],y[NM],WP_prev,WP_next,Flight_Block,reserved,reserved,phi[º],heading[º],track[º],Radius[NM],reserved,reserved,reserved,gear,config,rating,packs,anti-ice,reserved,reserved,reserved,Drag[daN],CD[-],CL[-],Thrust[daN],FF[kg/h],FOB[kg],N1[%],N2[%],Tidle[daN],Tmax[daN],N1_idle[%],N1_max[%],reserved,reserved,reserved,sdot[kt],vdot[kt/s],mdot[kg/s],hdot[ft/min],hpdot[ft/min],vcasdot[kt/s],reserved,reserved,reserved,
    "TO_TOGA_CAS",2016-07-28,04:08:07,  1469678887,      0.00,  -943.78,   2045.1,  143.3,   64891.5,   0.00,    3.254,    0.000,  1.000,   1977.1,     1.00,  136.4, 0.213357,  141.6,   0.00,EXAMPLE,,   23.83,  945.94,  -7.8,  -7.5,  -1.3,  10.7,,,,  40.494919,  -3.557869,    244.45,   2420.54,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.8,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5759.10,  0.15584,  1.7220,       0.0,  520.5,   5598.5,  0.0,  0.0,    -566.7,   16845.3,  0.0,  0.0,,,,   141.58, -1.72516,    -0.14,     0.00,     1.00, -1.64364,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:08,  1469678888,      1.00,  -943.75,   2086.6,  143.4,   64889.2,   9.89,  100.158,    0.000,  0.985,   2016.9,  2389.18,  136.4, 0.213511,  139.4,  10.02,EXAMPLE,,   23.78,  944.56,  -7.7,  -7.7,  -1.5,  10.8,,,,  40.494530,  -3.557194,    244.48,   2420.52,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.7,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5612.73,  0.15189,  1.6964,   16845.3, 8156.9,   5596.2,  0.0,  0.0,    -565.0,   16817.8,  0.0,  0.0,,,,   139.35,  0.08995,    -2.27,  2494.26,  2389.18, -0.00025,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:09,  1469678889,      2.00,  -943.71,   2128.1,  143.5,   64887.0,   9.87,  100.155,    0.000,  0.985,   2056.5,  2382.59,  136.4, 0.213664,  139.3,  10.01,EXAMPLE,,   23.72,  943.19,  -7.7,  -7.9,  -1.7,  10.9,,,,  40.494141,  -3.556519,    244.51,   2420.49,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5613.22,  0.15190,  1.6965,   16817.8, 8143.4,   5594.0,  0.0,  0.0,    -563.2,   16790.9,  0.0,  0.0,,,,   139.26,  0.09027,    -2.26,  2489.29,  2382.59, -0.00021,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:10,  1469678890,      3.00,  -943.67,   2169.4,  143.5,   64884.7,   9.84,  100.151,    0.000,  0.985,   2096.1,  2376.20,  136.4, 0.213818,  139.1,  10.00,EXAMPLE,,   23.67,  941.82,  -7.7,  -8.1,  -1.9,  11.0,,,,  40.493752,  -3.555845,    244.54,   2420.47,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5613.69,  0.15192,  1.6966,   16790.9, 8130.4,   5591.7,  0.0,  0.0,    -561.5,   16764.8,  0.0,  0.0,,,,   139.15,  0.09056,    -2.26,  2484.49,  2376.20, -0.00016,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:11,  1469678891,      4.00,  -943.63,   2210.7,  143.6,   64882.5,   9.82,  100.147,    0.000,  0.985,   2135.5,  2369.99,  136.4, 0.213971,  139.0,   9.99,EXAMPLE,,   23.62,  940.46,  -7.6,  -8.3,  -2.1,  11.1,,,,  40.493364,  -3.555171,    244.58,   2420.45,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.13,  0.15193,  1.6967,   16764.8, 8117.8,   5589.5,  0.0,  0.0,    -559.8,   16739.3,  0.0,  0.0,,,,   139.03,  0.09082,    -2.25,  2479.87,  2369.99, -0.00012,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:12,  1469678892,      5.00,  -943.59,   2251.9,  143.7,   64880.2,   9.79,  100.144,    0.000,  0.985,   2174.9,  2363.96,  136.4, 0.214124,  138.9,   9.98,EXAMPLE,,   23.57,  939.10,  -7.6,  -8.6,  -2.3,  11.2,,,,  40.492976,  -3.554498,    244.61,   2420.42,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.5,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.55,  0.15194,  1.6968,   16739.3, 8105.6,   5587.2,  0.0,  0.0,    -558.0,   16714.4,  0.0,  0.0,,,,   138.89,  0.09106,    -2.25,  2475.42,  2363.96, -0.00008,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:13,  1469678893,      6.00,  -943.55,   2293.0,  143.8,   64878.0,   9.77,  100.141,    0.000,  0.986,   2214.2,  2358.10,  136.4, 0.214277,  138.8,   9.97,EXAMPLE,,   23.53,  937.75,  -7.5,  -8.8,  -2.5,  11.3,,,,  40.492588,  -3.553826,    244.64,   2420.40,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.5,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.95,  0.15196,  1.6969,   16714.4, 8093.8,   5585.0,  0.0,  0.0,    -556.3,   16690.1,  0.0,  0.0,,,,   138.75,  0.09127,    -2.25,  2471.13,  2358.10, -0.00004,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:14,  1469678894,      7.00,  -943.51,   2334.0,  143.9,   64875.7,   9.75,  100.137,    0.000,  0.986,   2253.3,  2352.41,  136.4, 0.214429,  138.6,   9.97,EXAMPLE,,   23.48,  936.41,  -7.4,  -9.1,  -2.8,  11.4,,,,  40.492201,  -3.553155,    244.67,   2420.38,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5615.33,  0.15197,  1.6970,   16690.1, 8082.5,   5582.7,  0.0,  0.0,    -554.6,   16666.4,  0.0,  0.0,,,,   138.60,  0.09146,    -2.25,  2467.00,  2352.41,  0.00000,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:15,  1469678895,      8.00,  -943.48,   2375.0,  144.0,   64873.5,   9.72,  100.134,    0.000,  0.986,   2292.4,  2346.89,  136.4, 0.214582,  138.4,   9.96,EXAMPLE,,   23.44,  935.06,  -7.4,  -9.4,  -3.0,  11.5,,,,  40.491814,  -3.552484,    244.70,   2420.35,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5615.69,  0.15198,  1.6970,   16666.4, 8071.5,   5580.5,  0.0,  0.0,    -552.8,   16643.3,  0.0,  0.0,,,,   138.45,  0.09162,    -2.24,  2463.02,  2346.89,  0.00004,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:16,  1469678896,      9.00,  -943.44,   2416.0,  144.1,   64871.3,   9.70,  100.131,    0.000,  0.986,   2331.4,  2341.53,  136.4, 0.214734,  138.3,   9.96,EXAMPLE,,   23.39,  933.73,  -7.3,  -9.6,  -3.3,  11.6,,,,  40.491428,  -3.551814,    244.73,   2420.33,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5616.03,  0.15199,  1.6971,   16643.3, 8060.9,   5578.3,  0.0,  0.0,    -551.1,   16620.8,  0.0,  0.0,,,,   138.28,  0.09175,    -2.24,  2459.19,  2341.53,  0.00008,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:17,  1469678897,     10.00,  -943.40,   2456.8,  144.2,   64869.0,   9.68,  100.128,    0.000,  0.986,   2370.3,  2336.31,  136.4, 0.214886,  138.1,   9.96,EXAMPLE,,   23.35,  932.39,  -7.2,  -9.9,  -3.5,  11.7,,,,  40.491042,  -3.551144,    244.76,   2420.31,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5616.35,  0.15200,  1.6972,   16620.8, 8050.7,   5576.0,  0.0,  0.0,    -549.3,   16598.8,  0.0,  0.0,,,,   138.12,  0.09186,    -2.24,  2455.51,  2336.31,  0.00012,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:18,  1469678898,     11.00,  -943.36,   2497.7,  144.3,   64866.8,   9.66,  100.125,    0.000,  0.986,   2409.1,  2331.25,  136.4, 0.215038,  137.9,   9.96,EXAMPLE,,   23.31,  931.06,  -7.1, -10.1,  -3.8,  11.8,,,,  40.490657,  -3.550476,    244.79,   2420.28,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5616.65,  0.15201,  1.6972,   16598.8, 8040.8,   5573.8,  0.0,  0.0,    -547.5,   16577.3,  0.0,  0.0,,,,   137.95,  0.09195,    -2.23,  2451.97,  2331.25,  0.00016,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:19,  1469678899,     12.00,  -943.32,   2538.4,  144.4,   64864.6,   9.64,  100.123,    0.000,  0.986,   2447.8,  2326.34,  136.4, 0.215189,  137.8,   9.95,EXAMPLE,,   23.27,  929.74,  -7.0, -10.4,  -4.1,  11.9,,,,  40.490272,  -3.549808,    244.82,   2420.26,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5616.94,  0.15202,  1.6973,   16577.3, 8031.3,   5571.6,  0.0,  0.0,    -545.8,   16556.4,  0.0,  0.0,,,,   137.77,  0.09201,    -2.23,  2448.57,  2326.34,  0.00020,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:20,  1469678900,     13.00,  -943.28,   2579.1,  144.5,   64862.3,   9.62,  100.120,    0.000,  0.986,   2486.5,  2321.56,  136.4, 0.215341,  137.6,   9.95,EXAMPLE,,   23.23,  928.42,  -6.9, -10.7,  -4.3,  12.0,,,,  40.489887,  -3.549142,    244.85,   2420.24,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5617.20,  0.15203,  1.6974,   16556.4, 8022.1,   5569.3,  0.0,  0.0,    -544.0,   16535.9,  0.0,  0.0,,,,   137.60,  0.09205,    -2.23,  2445.30,  2321.56,  0.00024,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:21,  1469678901,     14.00,  -943.25,   2619.8,  144.6,   64860.1,   9.60,  100.117,    0.000,  0.986,   2525.1,  2316.92,  136.4, 0.215492,  137.4,   9.95,EXAMPLE,,   23.19,  927.10,  -6.8, -10.9,  -4.6,  12.0,,,,  40.489504,  -3.548476,    244.88,   2420.21,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5617.45,  0.15204,  1.6974,   16535.9, 8013.2,   5567.1,  0.0,  0.0,    -542.2,   16515.9,  0.0,  0.0,,,,   137.43,  0.09207,    -2.23,  2442.17,  2316.92,  0.00028,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:22,  1469678902,     15.00,  -943.21,   2660.4,  144.6,   64857.9,   9.59,  100.114,    0.000,  0.986,   2563.6,  2312.41,  136.4, 0.215644,  137.3,   9.95,EXAMPLE,,   23.15,  925.79,  -6.7, -11.2,  -4.9,  12.1,,,,  40.489120,  -3.547811,    244.91,   2420.19,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5617.69,  0.15205,  1.6975,   16515.9, 8004.7,   5564.9,  0.0,  0.0,    -540.4,   16496.4,  0.0,  0.0,,,,   137.25,  0.09206,    -2.22,  2439.15,  2312.41,  0.00031,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:23,  1469678903,     16.00,  -943.17,   2700.9,  144.7,   64855.7,   9.57,  100.112,    0.000,  0.986,   2602.0,  2308.03,  136.4, 0.215795,  137.1,   9.95,EXAMPLE,,   23.11,  924.48,  -6.6, -11.4,  -5.1,  12.1,,,,  40.488737,  -3.547146,    244.94,   2420.17,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5617.91,  0.15206,  1.6975,   16496.4, 7996.4,   5562.7,  0.0,  0.0,    -538.6,   16477.4,  0.0,  0.0,,,,   137.08,  0.09203,    -2.22,  2436.27,  2308.03,  0.00035,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:24,  1469678904,     17.00,  -943.13,   2741.4,  144.8,   64853.5,   9.55,  100.109,    0.000,  0.986,   2640.4,  2303.78,  136.4, 0.215946,  136.9,   9.95,EXAMPLE,,   23.07,  923.18,  -6.4, -11.6,  -5.4,  12.1,,,,  40.488354,  -3.546483,    244.97,   2420.14,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.11,  0.15206,  1.6976,   16477.4, 7988.4,   5560.5,  0.0,  0.0,    -536.9,   16458.8,  0.0,  0.0,,,,   136.92,  0.09198,    -2.22,  2433.50,  2303.78,  0.00038,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:25,  1469678905,     18.00,  -943.09,   2781.9,  144.9,   64851.2,   9.53,  100.107,    0.000,  0.986,   2678.7,  2299.65,  136.4, 0.216097,  136.8,   9.96,EXAMPLE,,   23.03,  921.88,  -6.3, -11.8,  -5.6,  12.1,,,,  40.487972,  -3.545820,    245.00,   2420.12,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.30,  0.15207,  1.6976,   16458.8, 7980.7,   5558.2,  0.0,  0.0,    -535.1,   16440.6,  0.0,  0.0,,,,   136.76,  0.09191,    -2.22,  2430.84,  2299.65,  0.00041,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:26,  1469678906,     19.00,  -943.06,   2822.3,  145.0,   64849.0,   9.52,  100.105,    0.000,  0.986,   2716.9,  2295.63,  136.4, 0.216248,  136.6,   9.96,EXAMPLE,,   22.99,  920.58,  -6.1, -12.0,  -5.9,  12.1,,,,  40.487591,  -3.545159,    245.03,   2420.10,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.47,  0.15208,  1.6977,   16440.6, 7973.3,   5556.0,  0.0,  0.0,    -533.3,   16422.9,  0.0,  0.0,,,,   136.60,  0.09182,    -2.21,  2428.30,  2295.63,  0.00045,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:27,  1469678907,     20.00,  -943.02,   2862.7,  145.1,   64846.8,   9.50,  100.102,    0.000,  0.986,   2755.1,  2291.73,  136.4, 0.216398,  136.4,   9.96,EXAMPLE,,   22.95,  919.29,  -6.0, -12.2,  -6.1,  12.1,,,,  40.487210,  -3.544498,    245.06,   2420.07,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.63,  0.15208,  1.6977,   16422.9, 7966.2,   5553.8,  0.0,  0.0,    -531.5,   16405.5,  0.0,  0.0,,,,   136.45,  0.09170,    -2.21,  2425.87,  2291.73,  0.00048,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:28,  1469678908,     21.00,  -942.98,   2903.1,  145.2,   64844.6,   9.49,  100.100,    0.000,  0.986,   2793.2,  2287.94,  136.4, 0.216549,  136.3,   9.96,EXAMPLE,,   22.91,  918.00,  -5.8, -12.4,  -6.4,  12.1,,,,  40.486829,  -3.543837,    245.09,   2420.05,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.78,  0.15209,  1.6977,   16405.5, 7959.3,   5551.6,  0.0,  0.0,    -529.6,   16388.6,  0.0,  0.0,,,,   136.31,  0.09156,    -2.21,  2423.54,  2287.94,  0.00050,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:29,  1469678909,     22.00,  -942.94,   2943.4,  145.3,   64842.4,   9.47,  100.098,    0.000,  0.986,   2831.2,  2284.26,  136.4, 0.216700,  136.2,   9.96,EXAMPLE,,   22.87,  916.71,  -5.6, -12.5,  -6.6,  12.0,,,,  40.486448,  -3.543178,    245.12,   2420.03,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5618.91,  0.15209,  1.6978,   16388.6, 7952.6,   5549.4,  0.0,  0.0,    -527.8,   16372.0,  0.0,  0.0,,,,   136.18,  0.09140,    -2.21,  2421.32,  2284.26,  0.00053,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:30,  1469678910,     23.00,  -942.90,   2983.6,  145.4,   64840.2,   9.46,  100.096,    0.000,  0.986,   2869.2,  2280.68,  136.4, 0.216850,  136.1,   9.96,EXAMPLE,,   22.83,  915.43,  -5.4, -12.7,  -6.8,  12.0,,,,  40.486068,  -3.542518,    245.15,   2420.01,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.03,  0.15210,  1.6978,   16372.0, 7946.2,   5547.2,  0.0,  0.0,    -526.0,   16355.8,  0.0,  0.0,,,,   136.05,  0.09122,    -2.21,  2419.20,  2280.68,  0.00056,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:31,  1469678911,     24.00,  -942.87,   3023.9,  145.5,   64838.0,   9.44,  100.094,    0.000,  0.986,   2907.1,  2277.24,  136.4, 0.217001,  135.9,   9.96,EXAMPLE,,   22.79,  914.15,  -5.2, -12.8,  -7.1,  11.9,,,,  40.485688,  -3.541860,    245.18,   2419.98,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.14,  0.15210,  1.6978,   16355.8, 7940.0,   5545.0,  0.0,  0.0,    -524.2,   16340.0,  0.0,  0.0,,,,   135.94,  0.09102,    -2.21,  2417.17,  2277.24,  0.00058,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:32,  1469678912,     25.00,  -942.83,   3064.1,  145.6,   64835.8,   9.43,  100.092,    0.000,  0.986,   2945.0,  2274.04,  136.4, 0.217151,  135.8,   9.96,EXAMPLE,,   22.75,  912.87,  -5.0, -12.9,  -7.3,  11.7,,,,  40.485309,  -3.541202,    245.21,   2419.96,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.24,  0.15211,  1.6979,   16340.0, 7934.0,   5542.8,  0.0,  0.0,    -522.4,   16324.6,  0.0,  0.0,,,,   135.84,  0.09081,    -2.20,  2415.24,  2274.04,  0.00056,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:33,  1469678913,     26.00,  -942.79,   3104.3,  145.6,   64833.6,   9.42,  100.090,    0.000,  0.987,   2982.8,  2271.08,  136.4, 0.217301,  135.8,   9.96,EXAMPLE,,   22.71,  911.60,  -4.8, -13.0,  -7.5,  11.6,,,,  40.484930,  -3.540545,    245.24,   2419.94,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.33,  0.15211,  1.6979,   16324.6, 7928.3,   5540.6,  0.0,  0.0,    -520.5,   16309.4,  0.0,  0.0,,,,   135.75,  0.09061,    -2.20,  2413.36,  2271.08,  0.00054,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:34,  1469678914,     27.00,  -942.75,   3144.4,  145.7,   64831.4,   9.40,  100.088,    0.000,  0.987,   3020.6,  2268.36,  136.4, 0.217451,  135.7,   9.96,EXAMPLE,,   22.66,  910.33,  -4.5, -13.0,  -7.7,  11.5,,,,  40.484551,  -3.539887,    245.27,   2419.91,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.5,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.41,  0.15212,  1.6979,   16309.4, 7922.8,   5538.4,  0.0,  0.0,    -518.7,   16294.7,  0.0,  0.0,,,,   135.67,  0.09044,    -2.20,  2411.55,  2268.36,  0.00052,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:35,  1469678915,     28.00,  -942.72,   3184.6,  145.8,   64829.2,   9.39,  100.086,    0.000,  0.987,   3058.3,  2265.87,  136.4, 0.217602,  135.6,   9.95,EXAMPLE,,   22.62,  909.06,  -4.3, -13.0,  -7.8,  11.3,,,,  40.484172,  -3.539231,    245.30,   2419.89,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.49,  0.15212,  1.6979,   16294.7, 7917.4,   5536.2,  0.0,  0.0,    -516.9,   16280.2,  0.0,  0.0,,,,   135.61,  0.09029,    -2.20,  2409.78,  2265.87,  0.00050,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:36,  1469678916,     29.00,  -942.68,   3224.7,  145.9,   64827.0,   9.38,  100.084,    0.000,  0.987,   3096.0,  2263.60,  136.4, 0.217752,  135.5,   9.95,EXAMPLE,,   22.58,  907.80,  -4.0, -13.1,  -8.0,  11.1,,,,  40.483793,  -3.538574,    245.33,   2419.87,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.56,  0.15212,  1.6980,   16280.2, 7912.3,   5534.0,  0.0,  0.0,    -515.0,   16266.0,  0.0,  0.0,,,,   135.55,  0.09017,    -2.20,  2408.07,  2263.60,  0.00047,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:37,  1469678917,     30.00,  -942.64,   3264.7,  146.0,   64824.8,   9.37,  100.083,    0.000,  0.987,   3133.7,  2261.57,  136.4, 0.217902,  135.5,   9.95,EXAMPLE,,   22.53,  906.54,  -3.8, -13.1,  -8.1,  10.9,,,,  40.483415,  -3.537918,    245.36,   2419.84,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.7,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.62,  0.15213,  1.6980,   16266.0, 7907.4,   5531.8,  0.0,  0.0,    -513.2,   16252.2,  0.0,  0.0,,,,   135.50,  0.09006,    -2.20,  2406.42,  2261.57,  0.00045,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:38,  1469678918,     31.00,  -942.60,   3304.8,  146.1,   64822.6,   9.35,  100.081,    0.000,  0.987,   3171.3,  2259.76,  136.4, 0.218052,  135.5,   9.94,EXAMPLE,,   22.49,  905.28,  -3.5, -13.1,  -8.3,  10.7,,,,  40.483037,  -3.537262,    245.39,   2419.82,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.8,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.68,  0.15213,  1.6980,   16252.2, 7902.7,   5529.6,  0.0,  0.0,    -511.3,   16238.7,  0.0,  0.0,,,,   135.46,  0.08998,    -2.20,  2404.81,  2259.76,  0.00042,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:39,  1469678919,     32.00,  -942.56,   3344.8,  146.2,   64820.4,   9.34,  100.079,    0.000,  0.987,   3208.9,  2258.18,  136.4, 0.218202,  135.4,   9.94,EXAMPLE,,   22.45,  904.02,  -3.3, -13.0,  -8.4,  10.5,,,,  40.482658,  -3.536607,    245.42,   2419.80,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.9,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.73,  0.15213,  1.6980,   16238.7, 7898.2,   5527.4,  0.0,  0.0,    -509.5,   16225.4,  0.0,  0.0,,,,   135.44,  0.08992,    -2.19,  2403.25,  2258.18,  0.00039,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:40,  1469678920,     33.00,  -942.53,   3384.8,  146.3,   64818.2,   9.33,  100.078,    0.000,  0.987,   3246.5,  2256.82,  136.4, 0.218353,  135.4,   9.93,EXAMPLE,,   22.40,  902.77,  -3.0, -13.0,  -8.6,  10.2,,,,  40.482280,  -3.535951,    245.45,   2419.78,"LEMD-14L","!BRA124-22",climb,,,   0.00,  123.0,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.77,  0.15214,  1.6981,   16225.4, 7893.9,   5525.2,  0.0,  0.0,    -507.6,   16212.4,  0.0,  0.0,,,,   135.42,  0.08988,    -2.19,  2401.74,  2256.82,  0.00037,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:41,  1469678921,     34.00,  -942.49,   3424.8,  146.4,   64816.0,   9.32,  100.076,    0.000,  0.987,   3284.1,  2255.69,  136.4, 0.218503,  135.4,   9.93,EXAMPLE,,   22.36,  901.52,  -2.7, -12.9,  -8.7,  10.0,,,,  40.481902,  -3.535295,    245.48,   2419.75,"LEMD-14L","!BRA124-22",climb,,,   0.00,  123.1,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.82,  0.15214,  1.6981,   16212.4, 7889.7,   5523.0,  0.0,  0.0,    -505.7,   16199.7,  0.0,  0.0,,,,   135.41,  0.08986,    -2.19,  2400.27,  2255.69,  0.00034,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:42,  1469678922,     35.00,  -942.45,   3464.7,  146.5,   64813.9,   9.31,  100.075,    0.000,  0.987,   3321.6,  2254.78,  136.4, 0.218653,  135.4,   9.92,EXAMPLE,,   22.31,  900.26,  -2.5, -12.9,  -8.8,   9.7,,,,  40.481524,  -3.534640,    245.51,   2419.73,"LEMD-14L","!BRA124-22",climb,,,   0.00,  123.2,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.85,  0.15214,  1.6981,   16199.7, 7885.7,   5520.9,  0.0,  0.0,    -503.9,   16187.2,  0.0,  0.0,,,,   135.41,  0.08986,    -2.19,  2398.84,  2254.78,  0.00031,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:43,  1469678923,     36.00,  -942.41,   3504.6,  146.5,   64811.7,   9.30,  100.073,    0.000,  0.987,   3359.1,  2254.09,  136.4, 0.218804,  135.4,   9.92,EXAMPLE,,   22.27,  899.02,  -2.2, -12.8,  -8.9,   9.5,,,,  40.481146,  -3.533984,    245.54,   2419.71,"LEMD-14L","!BRA124-22",climb,,,   0.00,  123.3,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5619.89,  0.15215,  1.6981,   16187.2, 7881.9,   5518.7,  0.0,  0.0,    -502.0,   16175.0,  0.0,  0.0,,,,   135.42,  0.08989,    -2.19,  2397.46,  2254.09,  0.00028,,,,
